date,X1,Y,X3,X4,X6,X7,X8,X9,X10,X11,X12
2014-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-11,0.0,310.376,96.876,277.278,1.21599,33.098,10.48,33.072,0.0,0.0,0.0
2014-04-12,0.0,303.501,96.923,281.447,3.08702,22.053,8.704,22.053,0.0,0.0,0.0
2014-04-13,0.0,303.535,96.959,276.032,1.96237,27.503,9.423,16.163,0.0,0.0,0.0
2014-04-14,0.0,303.782,96.969,282.7870000000001,0.0,20.996,8.131,20.737,0.0,0.0,0.0
2014-04-15,0.0,303.858,97.021,289.941,31.14186,13.918,8.498,12.182,0.0,0.0,0.0
2014-04-16,0.0,303.7920000000001,97.066,299.672,0.0,4.12,8.821,1.49,0.0,0.0,0.0
2014-04-17,0.0,304.335,96.919,282.901,41.23599,21.434,8.854,18.795,0.0,0.0,0.0
2014-04-18,0.0,304.849,96.72,273.701,0.0,31.148000000000003,9.64,28.503,0.0,0.0,0.0
2014-04-19,0.0,305.371,96.616,259.62,0.43686,45.752,9.639,43.157,0.0,0.0,0.0
2014-04-20,0.0,313.871,96.56,282.814,0.45428,31.056,9.62,28.484,0.0,0.0,0.0
2014-04-21,11.5,301.376,102.676,204.795,20.98975,96.58,19.197,69.77600000000001,0.0,0.0,0.0
2014-04-22,24.0,289.421,106.353,182.05900000000003,43.34345,107.362,37.939,78.935,631.0,90439.0,0.0
2014-04-23,24.0,270.24,107.644,171.053,47.16752,99.187,60.757,70.627,1166.0,165720.0,0.0
2014-04-24,24.0,262.843,107.869,168.24200000000005,47.73231,94.601,63.047,66.04899999999999,1550.0,221707.0,0.0
2014-04-25,24.0,255.527,107.971,165.53900000000004,48.53377,89.988,64.547,61.405,1249.0,178064.0,0.0
2014-04-26,24.0,247.199,108.052,162.422,49.8445,84.777,65.72399999999999,56.148,1346.0,192602.0,0.0
2014-04-27,24.0,240.736,108.054,159.899,50.29698,80.837,66.934,52.202,1350.0,194496.0,0.0
2014-04-28,24.0,235.021,108.042,157.683,50.73588,77.33800000000002,67.848,48.708,1346.0,192900.0,0.0
2014-04-29,24.0,232.74400000000003,107.988,156.795,50.11392,75.949,65.707,47.37600000000001,1279.0,184900.0,0.0
2014-04-30,24.0,233.298,107.893,157.179,48.92679,76.118,62.79600000000001,47.611,1226.0,177108.0,0.0
2014-05-01,24.0,231.08900000000003,107.877,156.399,48.93863,74.69,62.377,46.19600000000001,1213.0,174609.0,0.0
2014-05-02,24.0,231.419,107.817,156.69,48.3037,74.729,60.747,46.15,1074.0,154871.0,0.0
2014-05-03,24.0,230.766,107.795,156.606,48.1735,74.16,60.628,45.733,1044.0,147930.0,0.0
2014-05-04,24.0,230.596,107.764,156.688,47.46609,73.908,58.279,45.49100000000001,970.0,139378.0,0.0
2014-05-05,24.0,229.424,107.78,156.429,47.84002,72.994,54.905,44.549,946.0,136980.0,0.0
2014-05-06,24.0,225.902,107.86,154.951,49.00558,70.952,58.883,42.45,1003.0,144950.0,0.0
2014-05-07,24.0,225.768,107.838,155.059,47.9204,70.71,57.426,42.049,925.0,135000.0,0.0
2014-05-08,24.0,225.687,107.821,155.142,47.29695,70.545,57.65600000000001,41.159,914.0,127565.0,0.0
2014-05-09,13.83,227.798,107.599,156.852,29.13359,70.946,55.955,41.745,177.0,24323.0,0.0
2014-05-10,24.0,226.061,107.684,155.165,48.13438,70.896,57.374,41.905,944.0,52163.0,0.0
2014-05-11,24.0,225.097,107.836,155.162,47.49389,69.935,58.024,41.483,823.0,117732.0,0.0
2014-05-12,24.0,226.023,107.772,155.797,46.93359,70.226,56.885,41.807,769.0,111238.0,0.0
2014-05-13,24.0,226.905,107.717,156.577,46.3352,70.328,54.255,41.926,741.0,107144.0,0.0
2014-05-14,24.0,225.576,107.741,156.204,45.16209,69.372,54.995,40.981,713.0,102881.0,0.0
2014-05-15,24.0,225.893,107.709,156.826,46.31644,69.067,48.598,40.651,744.0,106745.0,0.0
2014-05-16,24.0,225.701,107.71,157.108,46.34614000000001,68.593,48.378,40.13800000000001,736.0,104864.0,0.0
2014-05-17,24.0,223.603,107.778,156.346,47.08721,67.256,53.92100000000001,38.84,783.0,110078.0,0.0
2014-05-18,24.0,220.102,107.889,154.695,47.76981,65.407,53.832,36.99,835.0,117388.0,0.0
2014-05-19,24.0,220.49,107.86,155.17600000000004,47.13595,65.314,55.754,36.906,789.0,109517.0,0.0
2014-05-20,24.0,220.154,107.859,155.238,47.14247,64.916,55.628,36.509,783.0,109362.0,0.0
2014-05-21,24.0,220.066,107.851,155.375,46.52459,64.691,52.236,36.281,744.0,104993.0,0.0
2014-05-22,24.0,219.983,107.852,155.547,46.289,64.436,53.661,36.019,735.0,107116.0,0.0
2014-05-23,24.0,219.863,107.867,155.572,46.28423,64.291,49.053,35.87300000000001,743.0,108079.0,93.0
2014-05-24,24.0,219.923,107.883,155.753,46.24216,64.17,54.691,35.751,747.0,108387.0,100.0
2014-05-25,24.0,219.977,107.903,155.904,46.26168,64.07300000000001,55.231,35.671,751.0,105810.0,101.0
2014-05-26,24.0,219.974,107.921,156.043,46.26511,63.93,55.103,35.529,727.0,106514.0,87.0
2014-05-27,24.0,219.98,107.936,156.243,46.22633,63.737,55.31100000000001,35.335,716.0,105800.0,91.0
2014-05-28,24.0,219.267,107.445,155.716,46.215,63.551,55.508,35.155,695.0,102250.0,77.0
2014-05-29,24.0,220.007,107.962,156.549,46.21506,63.458,56.17100000000001,35.052,699.0,102824.0,77.0
2014-05-30,24.0,220.0,107.974,156.665,46.23157,63.335,55.852,34.924,704.0,103978.0,78.0
2014-05-31,24.0,219.99400000000003,107.985,156.783,46.2074,63.21,55.596,34.793,716.0,105761.0,79.0
2014-06-01,24.0,220.006,107.994,156.864,46.26479000000001,63.142,55.963,34.726,724.0,107036.0,80.0
2014-06-02,22.0,221.328,107.825,157.53799999999995,41.7134,63.79,50.774,35.352,460.0,68263.0,46.0
2014-06-03,24.0,220.24,107.965,157.868,46.19319,62.37300000000001,53.047,33.947,715.0,104866.0,81.0
2014-06-04,24.0,221.268,107.961,159.451,46.15731,61.817,53.736,33.387,707.0,104234.0,80.0
2014-06-05,24.0,221.045,107.973,158.75799999999995,47.04157,62.286,54.245,33.842,677.0,99517.0,91.0
2014-06-06,24.0,220.75,107.987,157.674,47.2027,63.076,56.534,34.646,690.0,99850.0,92.0
2014-06-07,24.0,220.64,107.994,157.278,47.19411,63.362,56.615,34.934,694.0,100306.0,92.0
2014-06-08,24.0,220.504,108.003,157.185,47.15202,63.319,52.051,34.892,691.0,99959.0,91.0
2014-06-09,19.5,221.451,107.757,159.113,38.97891,62.337,53.559,34.67,238.0,34916.0,28.0
2014-06-10,24.0,220.852,107.991,158.075,46.51253,62.777,54.486,34.352,647.0,95262.0,85.0
2014-06-11,24.0,218.415,108.065,156.685,47.81521,61.73,54.295,33.314,746.0,108793.0,94.0
2014-06-12,24.0,215.497,108.139,155.559,48.72777,59.938,61.56100000000001,31.529,805.0,116555.0,102.0
2014-06-13,24.0,214.823,108.135,154.685,48.26392,60.13800000000001,62.327,31.739,819.0,120308.0,57.0
2014-06-14,24.0,215.833,108.105,155.59799999999996,48.00591,60.235,59.584,31.836,781.0,115374.0,54.0
2014-06-15,24.0,214.877,108.114,154.958,48.04032,59.92,60.774,31.544,786.0,116058.0,55.0
2014-06-16,24.0,215.381,108.088,155.333,47.74037,60.048,59.445,31.671,757.0,111153.0,52.0
2014-06-17,24.0,216.11900000000003,108.067,155.97799999999995,47.62397,60.14,58.607,31.763,727.0,107051.0,51.0
2014-06-18,24.0,215.984,108.066,156.197,47.63986,59.787,58.662,31.4,724.0,106457.0,51.0
2014-06-19,24.0,215.818,108.066,156.378,47.60717,59.44,57.55,31.053,715.0,105828.0,53.0
2014-06-20,24.0,215.579,108.073,156.488,47.58517,59.091,58.44600000000001,30.704,711.0,104861.0,51.0
2014-06-21,24.0,215.304,108.079,156.599,47.6112,58.705,58.703,30.313,708.0,104156.0,50.0
2014-06-22,24.0,214.949,108.085,156.713,47.61982,58.236,58.418,29.846,703.0,102418.0,52.0
2014-06-23,24.0,214.858,108.087,157.394,47.65973,57.464,57.883,28.78,696.0,102285.0,52.0
2014-06-24,24.0,214.897,108.08,157.989,47.62792,56.908,57.35,28.519,658.0,96652.0,95.0
2014-06-25,24.0,214.822,108.084,157.947,46.56755,56.875,58.007,28.477,576.0,85082.0,79.0
2014-06-26,16.58,219.55900000000003,107.447,158.58100000000005,44.0,60.978,49.152,35.123000000000005,370.0,55420.0,51.0
2014-06-27,23.83,217.252,107.635,162.789,44.3751,54.462,50.511,26.032,418.0,63214.0,59.0
2014-06-28,24.0,215.093,108.078,160.766,47.05341,54.327,55.688,25.903,589.0,88193.0,92.0
2014-06-29,24.0,215.259,108.099,160.197,46.83166,55.062,55.97,26.646,572.0,85616.0,82.0
2014-06-30,24.0,215.351,108.108,160.21200000000005,45.82783,55.139,56.006,26.727,513.0,76979.0,71.0
2014-07-01,24.0,215.385,108.114,160.417,46.78696,54.967,56.254,26.555,563.0,84308.0,79.0
2014-07-02,24.0,215.407,108.119,160.599,46.79973,54.808,51.652,26.39,564.0,84365.0,79.0
2014-07-03,24.0,215.332,108.124,160.782,46.80369,54.551,50.82100000000001,26.132,565.0,84351.0,79.0
2014-07-04,24.0,215.211,108.129,161.101,46.84702,54.111,51.418,25.676,564.0,84183.0,80.0
2014-07-05,24.0,215.11900000000003,108.132,161.484,46.85599000000001,53.635,54.232,25.201,563.0,83870.0,80.0
2014-07-06,24.0,215.067,108.134,161.97299999999996,46.86472,53.094,56.636,24.659,563.0,83854.0,80.0
2014-07-07,24.0,215.07,108.136,162.407,46.82457,52.663,54.966,24.234,522.0,77847.0,154.0
2014-07-08,24.0,215.047,108.139,163.023,46.80372,52.024,57.485,23.586,523.0,77885.0,247.0
2014-07-09,24.0,215.136,108.14,163.889,46.80708,51.247,56.12300000000001,22.798,522.0,77859.0,247.0
2014-07-10,24.0,215.165,108.143,164.233,46.79164,50.932,57.489,22.48,490.0,73241.0,213.0
2014-07-11,24.0,215.188,108.144,164.696,46.78773,50.492,56.119,22.038,492.0,72895.0,253.0
2014-07-12,24.0,215.46400000000003,108.142,165.92700000000005,46.85941,49.536,56.633,21.08,488.0,72637.0,204.0
2014-07-13,24.0,215.759,108.134,166.743,46.80047,49.01600000000001,57.20399999999999,20.54,482.0,71515.0,200.0
2014-07-14,24.0,215.977,108.121,167.412,47.00266,48.565,56.775,20.102,492.0,73096.0,215.0
2014-07-15,24.0,215.051,108.145,166.18900000000005,47.88536,48.862,56.395,20.38,476.0,70443.0,247.0
2014-07-16,24.0,214.827,108.15,166.342,47.76055,48.486,56.418,20.016,466.0,69327.0,244.0
2014-07-17,24.0,214.761,108.151,166.585,47.7135,48.176,55.027,19.707,464.0,68817.0,242.0
2014-07-18,24.0,214.923,108.148,167.47400000000005,47.69517000000001,47.449,58.937,19.009,459.0,68361.0,241.0
